KID,Teff,logg,Mass,Period,Period_Err,Amplitude,Flag
1162635,3899,4.62,0.5037,15.509,0.064,10.7,NF
1430893,3956,4.41,0.5260,17.144,0.046,10.4,NF
1721911,3833,4.58,0.4781,28.403,0.394,3.9,NF
1866535,3878,4.50,0.4955,25.052,0.136,4.0,NF
1866986,3832,4.52,0.4777,35.585,0.516,6.5,NF
1870952,3947,4.69,0.5225,24.428,0.081,7.1,NF
1873543,3702,4.52,0.4282,11.351,0.051,14.0,NF
1996399,3802,4.49,0.4661,27.034,0.106,6.3,NF
2142372,3801,4.72,0.4658,18.646,0.092,7.0,NF
2157356,3813,4.51,0.4704,12.924,0.101,11.7,NF
2302851,3984,4.47,0.5371,12.178,0.025,11.6,NF
2441562,3806,4.46,0.4677,10.084,0.005,20.7,NF
2570846,3865,4.61,0.4904,10.922,0.010,35.8,NF
2574427,3972,4.57,0.5323,13.425,0.081,5.7,NF
